Adafruit VL6180x test!
Sensor found!
Range: 59
Range: 56
Range: 55
Range: 58
Range: 57
Range: 58
Range: 60
Range: 59
Range: 57
Range: 60
Range: 59
Range: 60
Range: 57
Range: 59
Range: 59
Range: 57
Range: 60
Range: 57
Range: 58
Range: 57
Range: 59
Range: 58
Range: 57
Range: 61
Range: 59
Range: 58
Range: 57
Range: 60
Range: 57
Range: 59
Range: 56
Range: 58
Range: 60
Range: 57
Range: 59
Range: 59
Range: 58
Range: 60
Range: 60
Range: 58
Range: 58
Range: 56
Range: 56
Range: 56
Range: 56
Range: 58
Range: 59
Range: 58
Range: 57
Range: 57
Range: 58
Range: 58
Range: 58
Range: 60
Range: 56
Range: 57
Range: 59
Range: 57
Range: 60
Range: 58
Range: 58
Range: 58
�
>
